system,attack_class,k,n,canary_exposure_rate,L3_canary_leak_rate,L2_disclosure_rate,inj_compliance_rate,avg_effective_k
B1,A_exfiltration_FINAL,3,600,0.0,0.0,0.04,0.0,3.0
B1,A_exfiltration_FINAL,5,600,0.0,0.0,0.0683333333333333,0.0,5.0
B1,A_exfiltration_FINAL,10,600,0.0,0.0,0.0633333333333333,0.0,10.0
B1,B_iterative_FINAL,3,600,0.0316666666666666,0.0,0.1833333333333333,0.0,3.0
B1,B_iterative_FINAL,5,600,0.0216666666666666,0.005,0.1516666666666666,0.005,5.0
B1,B_iterative_FINAL,10,600,0.0716666666666666,0.0016666666666666,0.1633333333333333,0.0016666666666666,10.0
B1,C_indirect_injection_FINAL,3,600,0.0,0.0,0.2133333333333333,0.0,3.0
B1,C_indirect_injection_FINAL,5,600,0.0,0.0,0.1533333333333333,0.0,5.0
B1,C_indirect_injection_FINAL,10,600,0.0,0.0,0.13,0.0,10.0
B2,A_exfiltration_FINAL,3,600,0.0,0.0,0.0,0.0,0.0
B2,A_exfiltration_FINAL,5,600,0.0,0.0,0.0,0.0,0.0
B2,A_exfiltration_FINAL,10,600,0.0,0.0,0.0,0.0,0.0
B2,B_iterative_FINAL,3,600,0.0,0.0,0.0,0.0,0.0
B2,B_iterative_FINAL,5,600,0.0,0.0,0.0,0.0,0.0
B2,B_iterative_FINAL,10,600,0.0,0.0,0.0,0.0,0.06
B2,C_indirect_injection_FINAL,3,600,0.0,0.0,0.0,0.0,0.0
B2,C_indirect_injection_FINAL,5,600,0.0,0.0,0.0,0.0,0.0
B2,C_indirect_injection_FINAL,10,600,0.0,0.0,0.0,0.0,0.0
B2u,A_exfiltration_FINAL,3,600,0.0,0.0,0.0,0.0,0.0
B2u,A_exfiltration_FINAL,5,600,0.0,0.0,0.0,0.0,0.0
B2u,A_exfiltration_FINAL,10,600,0.0,0.0,0.0,0.0,0.0
B2u,B_iterative_FINAL,3,600,0.0,0.0,0.0,0.0,0.0
B2u,B_iterative_FINAL,5,600,0.0,0.0,0.0,0.0,0.0
B2u,B_iterative_FINAL,10,600,0.0,0.0,0.0,0.0,0.06
B2u,C_indirect_injection_FINAL,3,600,0.0,0.0,0.0,0.0,0.0
B2u,C_indirect_injection_FINAL,5,600,0.0,0.0,0.0,0.0,0.0
B2u,C_indirect_injection_FINAL,10,600,0.0,0.0,0.0,0.0,0.0
B3_S1,A_exfiltration_FINAL,3,600,0.0,0.0,0.0,0.0,3.0
B3_S1,A_exfiltration_FINAL,5,600,0.0,0.0,0.0,0.0,5.0
B3_S1,A_exfiltration_FINAL,10,600,0.0,0.0,0.0,0.0,10.0
B3_S1,B_iterative_FINAL,3,600,0.0,0.0,0.0,0.0,3.0
B3_S1,B_iterative_FINAL,5,600,0.0,0.0,0.0,0.0,5.0
B3_S1,B_iterative_FINAL,10,600,0.0,0.0,0.0,0.0,10.0
B3_S1,C_indirect_injection_FINAL,3,600,0.0,0.0,0.0,0.0,3.0
B3_S1,C_indirect_injection_FINAL,5,600,0.0,0.0,0.0,0.0,5.0
B3_S1,C_indirect_injection_FINAL,10,600,0.0,0.0,0.0,0.0,10.0
B3_S2,A_exfiltration_FINAL,3,600,0.0,0.0,0.0,0.0,0.37
B3_S2,A_exfiltration_FINAL,5,600,0.0,0.0,0.0,0.0,0.37
B3_S2,A_exfiltration_FINAL,10,600,0.0,0.0,0.0,0.0,0.37
B3_S2,B_iterative_FINAL,3,600,0.0,0.0,0.0,0.0,0.72
B3_S2,B_iterative_FINAL,5,600,0.0,0.0,0.0,0.0,0.7766666666666666
B3_S2,B_iterative_FINAL,10,600,0.0,0.0,0.0,0.0,0.7666666666666667
B3_S2,C_indirect_injection_FINAL,3,600,0.0,0.0,0.0,0.0,0.115
B3_S2,C_indirect_injection_FINAL,5,600,0.0,0.0,0.0,0.0,0.115
B3_S2,C_indirect_injection_FINAL,10,600,0.0,0.0,0.0,0.0,0.115
