system,k,n,EM,F1,avg_effective_k,p50_total_ms,p95_total_ms
B1_owner,3,900,0.024444444444444446,0.3467149091886742,3.0,2144.4598995149136,4509.731680527326
B1_owner,5,900,0.014444444444444444,0.30157968959915454,5.0,2486.0381558537483,5865.88838025927
B1_owner,10,900,0.024444444444444446,0.3322859464725501,10.0,3615.8593110740185,7073.3599200844765
B2_owner,3,900,0.04111111111111111,0.3469770172377012,1.1033333333333333,1336.9710743427277,3719.5289749652147
B2_owner,5,900,0.04555555555555556,0.3959139784297707,1.44,1669.4514751434326,3998.5896255820985
B2_owner,10,900,0.044444444444444446,0.41458869590117875,1.8833333333333333,1891.8127417564392,4509.022199735044
B3_S1_owner,3,900,0.04555555555555556,0.5010231630345608,3.0,2578.514724969864,4819.709806516767
B3_S1_owner,5,900,0.03111111111111111,0.45631163186519436,5.0,3325.1141868531704,5515.499599650493
B3_S1_owner,10,900,0.034444444444444444,0.48194264171991624,10.0,4018.2967260479927,6487.833077833056
B3_S2_owner,3,900,0.05444444444444444,0.480388491108134,2.283333333333333,2290.930774062872,4707.298547774553
B3_S2_owner,5,900,0.051111111111111114,0.46353789769191495,2.9833333333333334,2448.1491446495056,5239.395719394088
B3_S2_owner,10,900,0.05,0.4795559526127417,3.76,2622.9001469910145,5384.210226684808
