system,k,n,EM,F1,avg_effective_k,p50_total_ms,p95_total_ms
B1_owner,3,900,0.024444444444444446,0.3467149091886742,3.0,,
B1_owner,5,900,0.014444444444444444,0.30157968959915454,5.0,,
B1_owner,10,900,0.024444444444444446,0.33228594647255016,10.0,,
B2_owner,3,900,0.04111111111111111,0.3469770172377012,1.1033333333333333,,
B2_owner,5,900,0.04555555555555556,0.3959139784297707,1.44,,
B2_owner,10,900,0.044444444444444446,0.41458869590117875,1.8833333333333333,,
B3_S1_owner,3,900,0.04555555555555556,0.5010231630345608,3.0,,
B3_S1_owner,5,900,0.03111111111111111,0.45631163186519436,5.0,,
B3_S1_owner,10,900,0.034444444444444444,0.48194264171991624,10.0,,
B3_S2_owner,3,900,0.05444444444444444,0.480388491108134,2.283333333333333,,
B3_S2_owner,5,900,0.051111111111111114,0.46353789769191495,2.9833333333333334,,
B3_S2_owner,10,900,0.05,0.4795559526127417,3.76,,
